probmel_size walltime cputime
4         .00003180000000000000 .00200000000000000000
8         .00028500000000000000 .00400000000000000000
16        .00006600000000000000 .00400000000000000000
32        .00008260000000000000 .00400000000000000000
64        .00013900000000000000 .00200000000000000000
128       .00040160000000000000 .00600000000000000000
256       .00135580000000000000 .02800000000000000000
512       .00305940000000000000 .02600000000000000000
1024      .00665560000000000000 .05200000000000000000
2048      .01357460000000000000 .15200000000000000000
4096      .02742260000000000000 .25000000000000000000
8192      .06143840000000000000 .62000000000000000000
16384     .09919000000000000000 1.33800000000000000000
32768     .15627420000000000000 2.12200000000000000000
65536     .30800480000000000000 4.36800000000000000000
131072    .62033380000000000000 9.08600000000000000000
262144    1.06485840000000000000 16.89000000000000000000
524288    2.22724040000000000000 36.34800000000000000000
1048576   4.34571780000000000000 75.11600000000000000000
2097152   8.55961720000000000000 155.81400000000000000000
4194304   19.14566240000000000000 360.54800000000000000000
8388608   33.59522540000000000000 672.14400000000000000000
16777216  68.89015480000000000000 1430.74400000000000000000
33554432  141.23539400000000000000 3010.85200000000000000000
67108864  307.35390700000000000000 6931.70600000000000000000
134217728 597.94693980000000000000 14203.71600000000000000000
268435456 1246.11101100000000000000 29917.74800000000000000000
536870912 2691.76064120000000000000 69122.65800000000000000000
